No. de Noticia;Fuente y Fecha;Titulo de la noticia;URL;TEMA;GUARDADO;ANOTADO
Noticia_54.txt;EFEMadrid21 abr. 2020                                                                                                                                             ;Cs pedirá derogar la disposición que permite a Iglesias estar en comisión del CNI;https://www.efe.com/efe/espana/politica/cs-pedira-derogar-la-disposicion-que-permite-a-iglesias-estar-en-comision-del-cni/10002-4226908;SEGURIDAD INTELIGENCIA;;
Noticia_55.txt;EFEMadrid21 abr. 2020                                                                         ;Sanidad achaca el contagio de sanitarios a la poca protección por el desabastecimiento;https://www.efe.com/efe/espana/politica/sanidad-achaca-el-contagio-de-sanitarios-a-la-poca-proteccion-por-desabastecimiento/10002-4227043;CORONAVIRUS SANITARIOS;;
Noticia_56.txt;EFECompostela21 abr. 2020                                          ;Feijóo: La realidad económica y social es peor de lo que podemos imagina;https://www.efe.com/efe/espana/politica/feijoo-la-realidad-economica-y-social-es-peor-de-lo-que-podemos-imaginar/10002-4226990;CORONAVIRUS PANDEMIA;;
Noticia_57.txt;EFEMadrid21 abr. 2020                                                                    ;Ascienden a 86 las investigaciones a las residencias abiertas por la Fiscalía;https://www.efe.com/efe/espana/politica/ascienden-a-86-las-investigaciones-residencias-abiertas-por-la-fiscalia/10002-4227099;CORONAVIRUS JUSTICIA;;
Noticia_58.txt;EFEMadrid21 abr. 2020                                                                           ;El PP quiere presidir la comisión de reconstrucción en el Congreso;https://www.efe.com/efe/espana/politica/el-pp-quiere-presidir-la-comision-de-reconstruccion-en-congreso/10002-4226540;CORONAVIRUS PACTOS;;
Noticia_59.txt;EFESevilla21 abr. 2020                                                                    ;Detenido en Almería uno de los terroristas más buscados del Dáesh;https://www.efe.com/efe/espana/politica/detenido-en-almeria-uno-de-los-terroristas-mas-buscados-del-daesh/10002-4226890;SUCESOS TERRORISMO;;
Noticia_60.txt;EFEVitoria21 abr. 2020                                                               ;Gobierno Vasco: No tiene sentido una desescalada homogénea y centralizada;https://www.efe.com/efe/espana/politica/gobierno-vasco-no-tiene-sentido-una-desescalada-homogenea-y-centralizada/10002-4226948;CORONAVIRUS PANDEMIA;;
Noticia_61.txt;EFEBarcelona21 abr. 2020                                                      ;Budó evita llamar a la desobediencia y reclama que se devuelvan competencias;https://www.efe.com/efe/espana/politica/budo-evita-llamar-a-la-desobediencia-y-reclama-que-se-devuelvan-competencias/10002-4227065;CORONAVIRUS PANDEMIA;;
Noticia_62.txt;EFEBruselas21 abr. 2020                                                             ;"El vicepresidente de la CE: ""En pocas semanas habrá cambios que durarán décadas""";https://www.efe.com/efe/espana/destacada/el-vicepresidente-de-la-ce-en-pocas-semanas-habra-cambios-que-duraran-decadas/10011-4227078;UE CRISIS CLIMÁTICA;;
Noticia_63.txt;EFEMadrid17 abr. 2020                                                               ;No hay evidencias científicas que vinculen las redes 5G con el coronavirus;https://www.efe.com/efe/espana/efeverifica/no-hay-evidencias-cientificas-que-vinculen-las-redes-5g-con-el-coronavirus/50001435-4224397;CORONAVIRUS CAUSAS;;
Noticia_64.txt;EFEMadrid15 abr. 2020                                                               ;Las mascarillas caseras no protegen, pero ¿ayudan a no contagiar la COVID-19?;https://www.efe.com/efe/espana/efeverifica/las-mascarillas-caseras-no-protegen-pero-ayudan-a-contagiar-la-covid-19/50001435-4221449;CORONAVIRUS SANIDAD;;
Noticia_65.txt;EFE Madrid31 mar. 2020                                                        ;Estas imágenes de ataúdes no son de fallecidos por coronavirus;https://www.efe.com/efe/espana/efeverifica/estas-imagenes-de-ataudes-no-son-fallecidos-por-coronavirus/50001435-4209888;CORONAVIRUS ESPAÑA;;
Noticia_66.txt;EFEMadrid21 abr. 2020                                                               ;El Ejército no usará aviones para fumigar poblaciones contra el coronavirus;https://www.efe.com/efe/espana/efeverifica/el-ejercito-no-usara-aviones-para-fumigar-poblaciones-contra-coronavirus/50001435-4226539;CORONAVIRUS ESPAÑA;;
